VLID,VLName,VarID,VarName,varLen,resRation,varType,shape,ncVarID,ncGroupID
0,"",0,time,8,5e-324,NC_DOUBLE,1 ,0,-1
0,"",1,U2D,446224,5e-324,NC_FLOAT,1 334 334 ,1,-1
0,"",2,V2D,446224,5e-324,NC_FLOAT,1 334 334 ,2,-1
0,"",3,T2D,446224,5e-324,NC_FLOAT,1 334 334 ,3,-1
0,"",4,Q2D,446224,5e-324,NC_FLOAT,1 334 334 ,4,-1
0,"",5,PSFC,446224,5e-324,NC_FLOAT,1 334 334 ,5,-1
0,"",6,SWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,6,-1
0,"",7,LWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,7,-1
0,"",8,RAINRATE,446224,5e-324,NC_FLOAT,1 334 334 ,8,-1
1,"",0,time,8,5e-324,NC_DOUBLE,1 ,0,-1
1,"",1,U2D,446224,5e-324,NC_FLOAT,1 334 334 ,1,-1
1,"",2,V2D,446224,5e-324,NC_FLOAT,1 334 334 ,2,-1
1,"",3,T2D,446224,5e-324,NC_FLOAT,1 334 334 ,3,-1
1,"",4,Q2D,446224,5e-324,NC_FLOAT,1 334 334 ,4,-1
1,"",5,PSFC,446224,5e-324,NC_FLOAT,1 334 334 ,5,-1
1,"",6,SWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,6,-1
1,"",7,LWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,7,-1
1,"",8,RAINRATE,446224,5e-324,NC_FLOAT,1 334 334 ,8,-1
2,"",0,time,8,5e-324,NC_DOUBLE,1 ,0,-1
2,"",1,U2D,446224,5e-324,NC_FLOAT,1 334 334 ,1,-1
2,"",2,V2D,446224,5e-324,NC_FLOAT,1 334 334 ,2,-1
2,"",3,T2D,446224,5e-324,NC_FLOAT,1 334 334 ,3,-1
2,"",4,Q2D,446224,5e-324,NC_FLOAT,1 334 334 ,4,-1
2,"",5,PSFC,446224,5e-324,NC_FLOAT,1 334 334 ,5,-1
2,"",6,SWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,6,-1
2,"",7,LWDOWN,446224,5e-324,NC_FLOAT,1 334 334 ,7,-1
2,"",8,RAINRATE,446224,5e-324,NC_FLOAT,1 334 334 ,8,-1
